WKT,id,typ,ranking
"MULTIPOLYGON (((22.5057355840314 53.0703275167269,22.5090417396064 53.0700750323725,22.5099283472541 53.0707193637571,22.5119029630205 53.0725024240776,22.5137209244677 53.0729879024186,22.5153736166924 53.0732048182731,22.5152574668643 53.0720908283626,22.5123574533823 53.0713971861523,22.5102436134977 53.0696495928149,22.5082257228204 53.0691970396281,22.5057776724625 53.0692590155865,22.5057355840314 53.0703275167269)))","96","1","0.80"
"MULTIPOLYGON (((22.5153736166924 53.0732048182731,22.5174084939942 53.0728123038697,22.5197842390672 53.072461106772,22.5203906629594 53.0715030578174,22.5181963195905 53.0715422425204,22.5152574668643 53.0720908283626,22.5153736166924 53.0732048182731)))","97","0","0.65"
"MULTIPOLYGON (((22.5246226108851 53.0737757705923,22.5267385848479 53.0738541399983,22.526934508363 53.0725610447988,22.5257029430971 53.0725334120568,22.5248146210263 53.0716037726804,22.5218604336746 53.0715211380692,22.5219017509802 53.0723888014872,22.5235441138785 53.0728123038697,22.5246226108851 53.0737757705923)))","98","1","0.60"
"MULTIPOLYGON (((22.534183678421 53.0738933247014,22.5399046450613 53.0745202799496,22.539637204417 53.0732254769259,22.5344208945826 53.0728123038697,22.534183678421 53.0738933247014)))","99","0","0.70"
"MULTIPOLYGON (((22.5265784753981 53.0893340667064,22.5279650655797 53.0900622789656,22.5285018964837 53.0895672059077,22.5308921633676 53.087764709569,22.5312056409918 53.0864324296665,22.5302260234164 53.0866283531815,22.528967010241 53.0872733608363,22.5275105752179 53.0884715626992,22.5265784753981 53.0893340667064)))","100","0","0.80"
"MULTIPOLYGON (((22.5772868517385 53.0703667014299,22.5767774505993 53.070405886133,22.5771301129264 53.0707585484601,22.5780313610958 53.0713463190053,22.578423208126 53.0707977331631,22.5780313610958 53.0703667014299,22.5789717939682 53.0692303450425,22.5792460868893 53.0678588804369,22.578462392829 53.068054803952,22.5771692976294 53.0695438226666,22.5772868517385 53.0703667014299)))","101","0","0.65"
"MULTIPOLYGON (((22.5684702935599 53.0751864199009,22.5701944204926 53.0747162034647,22.5732508273279 53.0741284329195,22.573525120249 53.073109630641,22.5703903440077 53.0733055541561,22.5681176312328 53.0737757705923,22.5684702935599 53.0751864199009)))","102","0","0.85"
"MULTIPOLYGON (((22.6141684590899 53.0691815456383,22.6140754951522 53.0670743630518,22.614963817223 53.0652564016046,22.6137656153601 53.064936192486,22.612866562077 53.065625352365,22.6123179762347 53.0673494792977,22.6126706385619 53.0687993133093,22.6128273773739 53.0694262685575,22.6141684590899 53.0691815456383)))","103","0","0.65"
"MULTIPOLYGON (((22.6190232425001 53.0775379706997,22.6217614896616 53.0777726102999,22.6210651855743 53.0759402311228,22.6183724949366 53.074149951639,22.618537764159 53.0734682160963,22.615831480641 53.0739123771317,22.6168747426079 53.0745424660424,22.6179283339012 53.0758439611694,22.6190232425001 53.0775379706997)))","104","0","0.80"
"MULTIPOLYGON (((22.6245044188727 53.073070445938,22.6281027204098 53.0722803435597,22.6303429396221 53.0719340895506,22.6298587058986 53.0708755551687,22.6285365521188 53.0709788484328,22.6263364055946 53.0711544469817,22.6248283239395 53.0719394757884,22.6245044188727 53.073070445938)))","105","0","0.65"
"MULTIPOLYGON (((22.6244652341697 53.082866621692,22.6252621556485 53.0842107155571,22.6265420234295 53.0844340098127,22.6271524223805 53.0848304751414,22.6269561651788 53.0867414005263,22.6283919415491 53.0870719389712,22.6282269656592 53.0846299333277,22.6264603575114 53.082929879083,22.6256799599632 53.082827436989,22.625327297636 53.0825139593649,22.6244652341697 53.082866621692)))","106","0","0.80"
"MULTIPOLYGON (((22.6431955222113 53.0727961530169,22.6441359550837 53.0723259365807,22.6432347069143 53.0699356696968,22.6419024270118 53.0679372498429,22.6416281340907 53.0670751863766,22.6404525930002 53.0671143710796,22.6390027589886 53.0675845875158,22.6388852048795 53.0682899121701,22.6409228094364 53.0682899121701,22.6411579176545 53.0686033897942,22.6414322105756 53.0692695297455,22.6420199811208 53.0706801790541,22.6431955222113 53.0727961530169)))","107","1","0.90"
"MULTIPOLYGON (((22.6763457809628 53.0727177836109,22.6778347996774 53.073031261235,22.6784225702226 53.0720124589566,22.6780699078955 53.0710720260842,22.676815997399 53.0713463190053,22.6763457809628 53.0727177836109)))","108","4","0.80"
"MULTIPOLYGON (((22.6814149563158 53.0648432285484,22.6820114749157 53.0643164329017,22.6825369640393 53.0646457347896,22.6833620343431 53.0636527736802,22.6828507326861 53.0629193915055,22.6820966918585 53.0634771751314,22.6811154058501 53.0634255284993,22.680934642638 53.0646857063207,22.6814149563158 53.0648432285484)))","109","4","0.70"
"MULTIPOLYGON (((22.6501703993481 53.0740108788104,22.6511108322205 53.0736190317803,22.6514243098446 53.0712287648963,22.6500136605361 53.0685642050912,22.6487989347426 53.0657820911771,22.6479368712762 53.0647241041956,22.6466206203217 53.0659097314999,22.6481906779352 53.069049846727,22.6475502596981 53.0704752937708,22.6485625336858 53.0721279859955,22.6501703993481 53.0740108788104)))","110","0","0.85"
"MULTIPOLYGON (((22.6660939829261 53.0871829792304,22.6666827545312 53.0870383686607,22.6673025141154 53.0865425609933,22.66410042293 53.0855716043112,22.6635219806513 53.0855509456584,22.6637285671794 53.0860570826522,22.6660939829261 53.0871829792304)))","111","0","0.65"
"MULTIPOLYGON (((22.6535010991045 53.0786738584693,22.6537426908777 53.0784288751024,22.6535670923288 53.0780466900254,22.654452832068 53.0778116978497,22.6540692550638 53.0770308939931,22.6527252522269 53.0772926491979,22.6535010991045 53.0786738584693)))","112","3","0.80"
"MULTIPOLYGON (((22.6527252522269 53.0772926491979,22.6540692550638 53.0770308939931,22.6532417185471 53.0755005110667,22.6524822968261 53.0742851717315,22.6515373796903 53.0743901084782,22.6511973389936 53.0745694153879,22.6523224084971 53.0756089689939,22.651785283524 53.0758517081644,22.6527252522269 53.0772926491979)))","113","0","0.60"
"MULTIPOLYGON (((22.7194097695773 53.0586504752282,22.7238026383831 53.0625617385785,22.7263643113314 53.0656088898679,22.7273352680135 53.065102752874,22.7253623666702 53.0620762602375,22.7225011432561 53.0593803060459,22.7200367248255 53.058258628198,22.7194097695773 53.0586504752282)))","114","0","0.90"
"MULTIPOLYGON (((22.6938613432109 53.0721691977687,22.6995431251482 53.0721691977687,22.6979831958689 53.0711105473444,22.6964441262346 53.0695095017517,22.6944092489329 53.0687554609241,22.6939397126169 53.0712679495993,22.6938613432109 53.0721691977687)))","115","0","0.80"
"MULTIPOLYGON (((22.725791033716 53.0720853775236,22.7262042067722 53.071992413586,22.7266122151651 53.0711763968,22.7267593860994 53.0700610342848,22.7276385572106 53.0701707779149,22.7280304042408 53.0687601286063,22.7276761357848 53.067271911419,22.7268497896724 53.0678503536977,22.7261783834561 53.0683978079971,22.725791033716 53.0720853775236)))","116","0","0.70"
"MULTIPOLYGON (((22.7244017393146 53.0813921006142,22.7253726959966 53.0813766066246,22.7254811539238 53.0805037785434,22.7260131142337 53.0804521319114,22.7260854195185 53.0796309504622,22.7259144302779 53.0788697819844,22.7246431873194 53.0787026022518,22.7244017393146 53.0813921006142)))","117","3","0.90"
"MULTIPOLYGON (((22.7253003907118 53.0835974118016,22.728471493918 53.0836903757392,22.7317768783675 53.0836800464128,22.7318705051363 53.0820829276317,22.7298329005795 53.0820437429287,22.7251557801421 53.0828020536684,22.7253003907118 53.0835974118016)))","118","0","0.75"
"MULTIPOLYGON (((22.7758357419202 53.0611191115182,22.7772072065258 53.0622554679056,22.7785786711313 53.0627256843418,22.7832024660872 53.0644106265715,22.7885315856974 53.0653510594439,22.7888450633215 53.0647632888987,22.7861021341104 53.0639012254323,22.7838818742501 53.0629297208319,22.779615862445 53.0615972377257,22.7762667736534 53.060727264488,22.7758357419202 53.0611191115182)))","119","0","0.90"
"MULTIPOLYGON (((22.7599901422761 53.0682803119095,22.7616116947254 53.067976434546,22.760930110979 53.0649026221752,22.7616531638273 53.0646960356471,22.7608784643469 53.0594384085071,22.7600834913078 53.0593949845855,22.7592567601014 53.0594900551391,22.7592774187542 53.0616488843577,22.7593703826918 53.0642002279797,22.7595046639351 53.0656876509819,22.7599901422761 53.0682803119095)))","120","0","0.90"
"MULTIPOLYGON (((22.7647932790543 53.0752939245383,22.7662290554245 53.0749840447461,22.7675098918987 53.0747162034647,22.767842062505 53.0747162034647,22.7697229282497 53.0748729422768,22.7693702659226 53.0742851717315,22.7687041259713 53.0736974011863,22.767998801317 53.0735798470772,22.7658262116948 53.0735069510703,22.7645453752206 53.0738168308624,22.7647932790543 53.0752939245383)))","121","1","0.80"
"MULTIPOLYGON (((22.8102991265301 53.077788456865,22.8146477729464 53.0770344160374,22.8171474699363 53.0767348655717,22.8190687246476 53.0758568728273,22.8178911814375 53.0744520844363,22.814746152015 53.075343158713,22.8125575187809 53.0757445244982,22.8133049605138 53.0766212429813,22.8123494978214 53.0768071708565,22.8115799630042 53.0762287285779,22.809730510029 53.0763227762884,22.8102991265301 53.077788456865)))","122","0","0.80"
"MULTIPOLYGON (((22.964753544259 53.0773546251559,22.9661558444686 53.0776158714879,22.9684927604175 53.0756606156256,22.9711577266299 53.0725205003985,22.9700524887046 53.0722106206064,22.9686244807586 53.0734231082652,22.9666024936854 53.0747929522076,22.9659599209535 53.0759701139612,22.964753544259 53.0773546251559)))","123","0","0.80"
"MULTIPOLYGON (((22.9492672374687 53.0740892482165,22.9606579663396 53.076399162464,22.9610091634373 53.0752009606011,22.9551841276241 53.0740500635134,22.949693386361 53.0731092720036,22.9492672374687 53.0740892482165)))","124","0","0.75"
"MULTIPOLYGON (((22.9337190830762 53.0718955761516,22.9364873425527 53.0716063550122,22.9402059000583 53.0716889896235,22.9428502076179 53.0719368934572,22.9455513264727 53.0727890628851,22.9462330620154 53.0723758898289,22.9443299648887 53.0707193637571,22.9387959470041 53.0702687072423,22.9333110746832 53.0707025389513,22.9337190830762 53.0718955761516)))","125","0","0.80"
"MULTIPOLYGON (((22.9595217404351 53.0890835752889,22.9612356722768 53.0886648169642,22.9607091707494 53.0863540602604,22.9591085673789 53.086480585035,22.9595217404351 53.0890835752889)))","126","0","0.55"
"MULTIPOLYGON (((22.9945647541551 53.0799669536689,22.9971509445542 53.0798493995598,22.9971509445542 53.0787130431723,22.9965239893059 53.0785171196573,22.9964064351969 53.0792224443116,22.9948782317793 53.0791048902025,22.9945647541551 53.0799669536689)))","127","1","0.65"
"MULTIPOLYGON (((22.9844456928845 53.0795864698685,22.9853605504363 53.0796167476386,22.9856291129228 53.0785838149981,22.9849990240121 53.0783462404908,22.9844412403863 53.0782016299211,22.9844205817335 53.0785528270189,22.9844456928845 53.0795864698685)))","128","3","0.85"
"MULTIPOLYGON (((22.9854347183524 53.0794967372327,22.9879817240485 53.0800061383719,22.991981834333 53.080036214389,22.9931992727755 53.0791893317301,22.990535542965 53.0789246827695,22.9856698265705 53.0787522278754,22.9854347183524 53.0794967372327)))","129","0","0.85"
"MULTIPOLYGON (((22.9951011052359 53.0762183992514,22.9974644221783 53.0763619609914,22.9975819762874 53.0752647893069,22.9975427915844 53.072992076532,22.9972703971928 53.0718722329224,22.9965885282382 53.0720453513839,22.9945846389157 53.0720556807104,22.9949564946662 53.0737600195671,22.9951011052359 53.0762183992514)))","130","0","0.65"
"MULTIPOLYGON (((22.9616887883248 53.0932113832882,22.9630956873711 53.095900930716,22.9665043650846 53.0995161949577,22.9679298121285 53.1017060121554,22.969169331297 53.1021605025173,22.9687664875672 53.0998983800346,22.9676448631832 53.0981094711652,22.9644709022389 53.0952098031421,22.9627075906032 53.0931721985852,22.9616887883248 53.0932113832882)))","131","0","0.75"
"MULTIPOLYGON (((22.967712896274 53.1056828028212,22.9684677419465 53.1057896729564,22.9686115476712 53.1049804086257,22.9672842292282 53.1045104242743,22.96694852612 53.1055536862412,22.967712896274 53.1056828028212)))","132","4","0.75"
"MULTIPOLYGON (((22.9862967818188 53.109747327961,22.9874723229093 53.1093946656338,22.986923737067 53.1079448316222,22.9858657500856 53.1080232010283,22.9853171642434 53.1088460797916,22.9862967818188 53.109747327961)))","133","3","0.65"
"MULTIPOLYGON (((22.9968374669301 53.1165262815827,22.9977387150994 53.1158601416315,22.9963280657909 53.1146062311349,22.9945647541552 53.1133915053414,22.9937026906888 53.1133523206384,22.991704270835 53.1106877608333,22.9906070991505 53.1097081432579,22.9887262334058 53.1087285256826,22.9875898770183 53.1088460797916,22.9873547688002 53.1094730350399,22.9885694945937 53.109943251476,22.9904895450415 53.1111579772695,22.9922136719742 53.1124902571721,22.994212091828 53.1140968299957,22.9968374669301 53.1165262815827)))","134","0","0.70"
"MULTIPOLYGON (((22.9684979250807 53.1132645284023,22.9677335549268 53.1138636293338,22.9678884948229 53.1146589874669,22.9686244807586 53.1169964980189,22.9694069058043 53.1194827828979,22.9700743147702 53.1192300260908,22.9704811557504 53.1182535930557,22.969603163006 53.1160327878787,22.9684979250807 53.1132645284023)))","135","0","0.65"
"MULTIPOLYGON (((22.9667436150138 53.1119416713299,22.9675664937772 53.1117065631118,22.9676616758837 53.1087049335165,22.9673313855591 53.1087285256826,22.9658329588683 53.1086783074786,22.9659569107852 53.1101657304809,22.9667436150138 53.1119416713299)))","136","0","0.60"
"MULTIPOLYGON (((22.9448954142461 53.1100830958697,22.9455771497888 53.1094426776326,22.9361981214133 53.1046911874864,22.9352684820369 53.10560016821,22.9369240560187 53.1066909211257,22.9448954142461 53.1100830958697)))","137","0","0.75"
"MULTIPOLYGON (((22.9523428585838 53.120226494399,22.9533451750601 53.1191610885849,22.9521569307085 53.1179333839372,22.9505455330903 53.1154873378502,22.9494506471905 53.1168488046647,22.9523428585838 53.120226494399)))","138","0","0.65"
"MULTIPOLYGON (((22.9058114018241 53.1163303580676,22.9071004089314 53.1159398239411,22.9064775417753 53.1149588934621,22.9049105917336 53.1158571893299,22.9058114018241 53.1163303580676)))","139","4","0.80"
"MULTIPOLYGON (((22.8593383440472 53.0919182880887,22.8609825488661 53.0924870883392,22.8637714669954 53.0889544587088,22.8624493132156 53.0882520645133,22.8605900344628 53.0897808048212,22.8593383440472 53.0919182880887)))","140","0","0.60"
"MULTIPOLYGON (((22.8621988273673 53.0988147958195,22.8632033540431 53.0996246528848,22.863761137669 53.0985710615915,22.8631413780847 53.0981062419033,22.8621988273673 53.0988147958195)))","141","3","0.75"
"MULTIPOLYGON (((22.8858272032859 53.1129212889053,22.8866108973463 53.1128429194992,22.8903334441328 53.1101783596941,22.890882029975 53.1091595574157,22.8906861064599 53.1087285256826,22.8892306742513 53.10901917525,22.8874746887625 53.1103929756618,22.8852435542591 53.1124485116163,22.8858272032859 53.1129212889053)))","142","0","0.70"
"MULTIPOLYGON (((22.8653727883116 53.102380603794,22.8662028936475 53.1025343270043,22.867283437973 53.1007918667685,22.8672928387594 53.100107891019,22.8643705679269 53.0984574390011,22.8634919225669 53.0996376745829,22.8653727883116 53.102380603794)))","143","1","0.80"
"MULTIPOLYGON (((22.8658993082348 53.1048926093512,22.873640760648 53.1071611375619,22.8745811935204 53.1061815199865,22.8718696588967 53.1052438064489,22.8668909235696 53.1038286887316,22.8658993082348 53.1048926093512)))","144","0","0.60"
"MULTIPOLYGON (((22.7696053741407 53.0957583889843,22.7649423944818 53.0965420830446,22.7600834913078 53.097443331214,22.7577073611407 53.0989893993106,22.7549111105097 53.1003038145341,22.755655619867 53.1010483238914,22.75816344086 53.1001470757221,22.7595349054656 53.0989323499286,22.7628384540322 53.098049430608,22.7654207856334 53.0977808681215,22.7683122789412 53.0972082229959,22.7700755905769 53.0972082229959,22.7696053741407 53.0957583889843)))","145","0","0.90"
"MULTIPOLYGON (((22.7508750860991 53.1027332661211,22.7516195954564 53.1029291896362,22.7526775824378 53.1028508202302,22.7547935564007 53.1023022343879,22.7550286646188 53.1014793556246,22.7546760022916 53.1009699544854,22.7539314929343 53.1014009862186,22.753108614171 53.1018712026548,22.7508750860991 53.1018320179518,22.7508750860991 53.1027332661211)))","146","1","0.60"
"MULTIPOLYGON (((22.7353187590017 53.1108053149424,22.7359797716527 53.1103558263397,22.7364943000922 53.1079840163252,22.7360847639451 53.1074540283702,22.7347701731595 53.1075137998891,22.7346134343475 53.1087677103856,22.7353187590017 53.1108053149424)))","147","4","0.90"
"MULTIPOLYGON (((22.7348588911336 53.1128926726513,22.7366458646016 53.1128410260192,22.7363375612802 53.112176779548,22.7362848744224 53.1119133452591,22.734907955434 53.1118494106847,22.7348588911336 53.1128926726513)))","148","3","0.95"
"MULTIPOLYGON (((22.7352012048927 53.1183679626245,22.7365219126847 53.1189456579244,22.7362946675038 53.1147519514041,22.7361893672731 53.1128542195836,22.7349945517354 53.1128887518246,22.7350241603561 53.1137603360693,22.7352012048927 53.1183679626245)))","149","0","0.85"
"MULTIPOLYGON (((22.7287780215782 53.0912098877564,22.7296011765881 53.0908995045775,22.7289982895646 53.0891959067129,22.7281616141259 53.0895471038107,22.7277587703961 53.0887000990455,22.7269634122629 53.0888860269208,22.7287780215782 53.0912098877564)))","150","4","0.80"
"MULTIPOLYGON (((22.6984170275779 53.0922133611891,22.6986810616818 53.0927411668521,22.7002556476779 53.0936801255386,22.7064325848679 53.0930810246071,22.7039742051836 53.0906846208812,22.7008754072622 53.0906226449228,22.6982724170083 53.0906226449228,22.6978799026049 53.0916349189105,22.6984170275779 53.0922133611891)))","151","0","0.75"
"MULTIPOLYGON (((22.6740682229105 53.1124381822898,22.6756072925448 53.1122832423937,22.6746106436019 53.1102753679046,22.6737686724448 53.1105479155577,22.6733245114094 53.1108991126555,22.6740682229105 53.1124381822898)))","152","0","0.50"
"MULTIPOLYGON (((22.6702329672923 53.1046925012719,22.6710950307586 53.1041047307267,22.6704288908074 53.1023022343879,22.6705464449164 53.0996768592859,22.6708207378375 53.0967771912627,22.6709382919466 53.0941910008636,22.6715652471948 53.092662797446,22.6723489412551 53.0917615492767,22.6740062469521 53.0910048300001,22.6745020546195 53.0902507891725,22.6726232341762 53.09011579175,22.6715652471948 53.0903900846711,22.6703496654048 53.0911597698962,22.6701740668559 53.0925748876136,22.6699586743712 53.0936032303184,22.6699929920748 53.09511320928,22.6689790567958 53.0983445793833,22.6685730212632 53.1006627501884,22.6688209250969 53.1028628967126,22.6702329672923 53.1046925012719)))","153","0","0.95"
"MULTIPOLYGON (((22.686587366513 53.1172826363736,22.689345296663 53.1176544921241,22.6900890081641 53.1169727565814,22.6903575706507 53.1162703623859,22.686742306409 53.1159604825938,22.686587366513 53.1172826363736)))","154","0","0.65"
"MULTIPOLYGON (((22.6574587541091 53.0933289373973,22.6631797207494 53.0933289373973,22.6634540136705 53.09258442804,22.6606327150534 53.0923101351189,22.6576154929211 53.0923101351189,22.6574587541091 53.0933289373973)))","155","0","0.70"
"MULTIPOLYGON (((22.6566917135663 53.1155421448743,22.6584383716845 53.1151548169772,22.6581481485893 53.1121541258136,22.6602450018495 53.1104601162832,22.6607201508641 53.109075986545,22.6583991869815 53.1085717868705,22.6570635693168 53.1098816740046,22.6563611751213 53.1122987363833,22.6566917135663 53.1155421448743)))","156","0","0.75"
"MULTIPOLYGON (((22.6293241373436 53.1034385907754,22.6310090795733 53.1033994060724,22.6312050030884 53.1028508202302,22.6313616228904 53.101233445472,22.6294300388528 53.1010991642288,22.6288980785429 53.1002521594636,22.6278961338817 53.1004794046445,22.6293241373436 53.1034385907754)))","157","0","0.45"
"MULTIPOLYGON (((22.6261143250769 53.1132102994382,22.627291868287 53.1124872465899,22.6272712096342 53.1119707802697,22.6274432715989 53.1107269455363,22.6267329129731 53.1103244089817,22.6258560919167 53.1115679365399,22.6261143250769 53.1132102994382)))","158","1","0.50"
"MULTIPOLYGON (((22.6283671426055 53.1177951390544,22.6294416914527 53.1181328544064,22.6326218007118 53.1169081982911,22.6323842262045 53.1158959243035,22.6279918574411 53.1158993263345,22.6283671426055 53.1177951390544)))","159","4","0.90"
"MULTIPOLYGON (((22.5960015731866 53.0983900221976,22.5928431788358 53.0988931652255,22.5896692178915 53.100107891019,22.5890317023094 53.0989391124519,22.5879059062558 53.0994809357708,22.5890940192425 53.1018480403931,22.5908706633841 53.1014451966633,22.5967480501084 53.0991520862015,22.5960015731866 53.0983900221976)))","160","1","0.90"
"MULTIPOLYGON (((22.6089044844613 53.1168609440671,22.6104757249002 53.1169701742496,22.6136674867592 53.115348470004,22.6114950974714 53.1140968299957,22.6092362057316 53.1137267657585,22.6084098596193 53.1143361960164,22.6087913529633 53.1158993263345,22.6089044844613 53.1168609440671)))","161","4","0.85"
"MULTIPOLYGON (((22.5917851918544 53.1117457478148,22.593430949381 53.1104918373183,22.5915139358821 53.1089031472415,22.589641473542 53.1075808165477,22.5851629770447 53.1079448316222,22.5841833594693 53.1093162962278,22.5843115411172 53.1101838068017,22.5917851918544 53.1117457478148)))","162","0","0.50"
"MULTIPOLYGON (((22.5406701370575 53.1035523792501,22.5442234253407 53.1039552229798,22.5449202870473 53.1026157120121,22.5443163892783 53.100412264023,22.541909656226 53.1005878625719,22.5414328484789 53.1012050627035,22.5406701370575 53.1035523792501)))","163","4","0.95"
"MULTIPOLYGON (((22.5581255319637 53.09999033691,22.5596145506783 53.100107891019,22.5596537353813 53.0998335980979,22.5601239518175 53.0990107193346,22.5606725376597 53.0982270252743,22.5620440022653 53.0976784394321,22.5650612243975 53.0965420830446,22.5651787785066 53.095092249033,22.5641991609312 53.0954057266571,22.5629060657316 53.0959934972024,22.5608684611748 53.0966596371536,22.5582039013697 53.097443331214,22.5579296084486 53.0984621334924,22.5581255319637 53.09999033691)))","164","1","0.70"
"MULTIPOLYGON (((22.5214486499408 53.0998727828009,22.5257589672725 53.100147075722,22.5274589285859 53.0990384636112,22.5264363252718 53.0980261896235,22.5247423157415 53.0983567280685,22.5206312438324 53.0974890646505,22.5204039986515 53.0970449036151,22.5163445733745 53.0959913123218,22.5148656198341 53.097443331214,22.5153322612141 53.0985010516753,22.5210650755414 53.0993276847505,22.5214486499408 53.0998727828009)))","165","0","0.80"
"MULTIPOLYGON (((22.519164479483 53.1295822817898,22.5205072919156 53.1310697047921,22.5218294456954 53.1324951518359,22.5235647725313 53.1349122142146,22.5256099791595 53.1380523294417,22.5287707530393 53.1442086079788,22.5323419973792 53.1487752921648,22.5324686518922 53.1495591990565,22.5341006854641 53.1486708769857,22.5303821279584 53.1428038195878,22.5281303348022 53.1367301756619,22.5255238590544 53.1330230415524,22.5236990537746 53.1301194067629,22.5229863302527 53.1301400654157,22.5210959876136 53.1283208771905,22.519164479483 53.1295822817898)))","166","0","0.95"
"MULTIPOLYGON (((22.5611738499707 53.1214117846037,22.5533449981957 53.1243632221859,22.549439735175 53.126473154542,22.5473738698941 53.1287042890454,22.5417340576772 53.131348596605,22.5438231153629 53.1324352710072,22.5481334326946 53.1304760358564,22.5515675764144 53.1276506977521,22.5536127830425 53.1256261497768,22.5575999030347 53.1240354335105,22.5629918114179 53.1221141787992,22.5611738499707 53.1214117846037)))","167","0","1.00"
"MULTIPOLYGON (((22.5487212032399 53.1354133084364,22.5474565045053 53.1372776299613,22.5468011527921 53.1390574858169,22.5479375091795 53.139449332847,22.5482931799441 53.1380316707888,22.5492021606677 53.1381452933793,22.5501318525484 53.1362753719027,22.5497400055183 53.1356876013575,22.5487212032399 53.1354133084364)))","168","0","0.70"
"MULTIPOLYGON (((22.5464484904649 53.1397236257681,22.5455868964261 53.1401181947226,22.5448225262721 53.1418122042529,22.5442440839935 53.1438160935754,22.5451162105624 53.1465417640929,22.5462273146632 53.1499723721126,22.5480158785856 53.1496373556312,22.5473015646093 53.1469355501497,22.5460620454407 53.1435062137833,22.5472321845253 53.1399979186892,22.5464484904649 53.1397236257681)))","169","0","0.90"
"MULTIPOLYGON (((22.6127490079679 53.1389399317078,22.6157126933874 53.1396843630136,22.6172414336952 53.1378250842608,22.6147830540109 53.1367714929675,22.6130683858278 53.1363996372169,22.6127490079679 53.1389399317078)))","170","4","0.80"
"MULTIPOLYGON (((22.6262936192088 53.1439230966972,22.6284177648651 53.1439193868395,22.6289755484909 53.1433409445608,22.6242860343032 53.1415023244608,22.6210219671593 53.1400665480906,22.6201026571093 53.141151127363,22.6216439355525 53.141800415028,22.6262936192088 53.1439230966972)))","171","0","0.70"
"MULTIPOLYGON (((22.5993478395364 53.139331778738,22.6002806797388 53.1390542741029,22.6003666418149 53.1383521611626,22.5996613171606 53.1360794483877,22.5984420596388 53.1352117646803,22.5974669737917 53.1349039072972,22.5975453431977 53.1361186330907,22.598133113743 53.1374117282902,22.5993478395364 53.139331778738)))","172","0","0.75"
"MULTIPOLYGON (((22.6149433513368 53.1241672986708,22.6212520885224 53.124559145701,22.6213008589723 53.124303995997,22.6213628349307 53.1238081883296,22.6194415802194 53.1236945657392,22.6195965201155 53.1227442677099,22.618078109134 53.1226822917515,22.6178405346267 53.1237358830448,22.6159229689122 53.1235403434226,22.6149433513368 53.1241672986708)))","173","0","0.65"
"MULTIPOLYGON (((22.6763406747195 53.1259179532478,22.6780553429027 53.125845647963,22.6774459126448 53.1241206504534,22.6771463621791 53.1233975976051,22.6763065962597 53.1223256176291,22.6746053478835 53.1255564268237,22.6763406747195 53.1259179532478)))","174","4","0.90"
"MULTIPOLYGON (((22.6506406157843 53.141800415028,22.6534227296984 53.1444649748331,22.6576938623272 53.1478740439955,22.6585951104965 53.1472470887472,22.6541672390557 53.1433678031486,22.6520120803899 53.1411342750767,22.6506406157843 53.141800415028)))","175","0","0.80"
"MULTIPOLYGON (((22.6829514436185 53.1268475926243,22.6841599748079 53.1272297777013,22.6857501096866 53.1271453361,22.6930845128215 53.1284796261962,22.6954189405889 53.1279218425704,22.6954602578946 53.1269405565619,22.6905698281575 53.1260481644156,22.6869179049579 53.1246164581209,22.6829721022713 53.1241722970855,22.6829514436185 53.1268475926243)))","176","0","0.90"
"MULTIPOLYGON (((22.6995823098512 53.1288302783297,22.7017374685171 53.1293788641719,22.7210163424009 53.1325528251162,22.7219567752733 53.1308678828865,22.708869084466 53.1285559854086,22.6999349721784 53.1273412596151,22.6995823098512 53.1288302783297)))","177","0","0.95"
"MULTIPOLYGON (((22.7511456565421 53.136949673848,22.757549838913 53.1380032651413,22.7572606177737 53.1386643420312,22.7725834115699 53.1410167209677,22.7722587997133 53.1393460775739,22.7710192805447 53.1386230247256,22.7600701945558 53.1366811113615,22.7509926402081 53.1356484166545,22.7511456565421 53.136949673848)))","178","0","0.95"
"MULTIPOLYGON (((22.7378853837701 53.1302975876431,22.7389079870842 53.1299567198718,22.738453535243 53.1285168007056,22.7372139775538 53.1255254388442,22.738339874132 53.124781727343,22.7368120414815 53.1239386784603,22.7363773021151 53.1227261913885,22.7362200071711 53.1187989943576,22.7353187590017 53.1184071473275,22.7348382324808 53.1197926626896,22.734920867092 53.1232116697295,22.7365726694982 53.127066966694,22.7378853837701 53.1302975876431)))","179","0","0.90"
"MULTIPOLYGON (((22.7442043491982 53.1439736158032,22.7457227601797 53.1435501134206,22.746063627951 53.1424448754953,22.7448757554145 53.1416598466885,22.7444729116847 53.1416701760149,22.7438324934476 53.1421349957032,22.7442043491982 53.1439736158032)))","180","0","0.35"
"MULTIPOLYGON (((22.7960550486764 53.1455229618145,22.7975832520941 53.1456405159236,22.7982652027921 53.1431493954667,22.7977303575605 53.1428501505138,22.7969646527184 53.1426734493964,22.796093720392 53.1439271338344,22.7960550486764 53.1455229618145)))","181","4","0.95"
"MULTIPOLYGON (((22.8524810210194 53.1200920895572,22.8556941666667 53.1218554011929,22.8666266988081 53.1273412596151,22.8700723561022 53.1293111369718,22.8735326804478 53.129672663396,22.8739355241776 53.128753353346,22.8679197940077 53.1263616420397,22.8639229543 53.1241672986708,22.8558900901818 53.1202096436662,22.8531322607986 53.1188578586503,22.8524810210194 53.1200920895572)))","182","0","1.00"
