WKT,id,typ,ranking
"MULTIPOLYGON (((22.697994816361 53.0168802925538,22.6993080169301 53.0171538747343,22.7004835580206 53.0148027925533,22.7013064367839 53.0123341562633,22.7013456214869 53.0106883987366,22.7008362203477 53.0081805777436,22.6995823098512 53.0082589471496,22.6993376287936 53.0095258121537,22.6992653235088 53.0109306005447,22.699244664856 53.0127588913184,22.6988314917998 53.0147731099673,22.697994816361 53.0168802925538)))","19","0","0.90"
"MULTIPOLYGON (((22.6866325573159 53.0271166550209,22.6896590499524 53.0285007847591,22.6934292540901 53.0299055731502,22.6940800016536 53.0291412029962,22.6909398864266 53.0279120131541,22.6914460234205 53.0274781814451,22.6884711774159 53.026455578131,22.6879082291268 53.0268016105656,22.686808096668 53.026362279943,22.6866325573159 53.0271166550209)))","20","0","0.70"
"MULTIPOLYGON (((22.6718926085364 53.0068091993093,22.6716963513347 53.0078008146441,22.6756731420005 53.0073773122615,22.6794846634438 53.0064166849059,22.6819946897602 53.0052391416958,22.6843084588748 53.0041545624233,22.6876035139979 53.0039892932008,22.6882971153826 53.0032824898666,22.6875526060253 53.0027730887274,22.6853582626564 53.0027730887274,22.6833206580996 53.0032433051636,22.6817881032321 53.0036174374502,22.6790611610613 53.0043921369306,22.6783050161135 53.0050849862054,22.6749743163572 53.0058294955627,22.672264464287 53.0064063555795,22.6718926085364 53.0068091993093)))","21","0","0.90"
"MULTIPOLYGON (((22.689237548255 53.0059862343747,22.690516384044 53.005321776307,22.691384047462 53.0055800094671,22.6923963214497 53.0051565070845,22.6909812037322 53.0042888436665,22.6890083023889 53.0032868990053,22.6886054586592 53.0037104013879,22.6874175861226 53.0047226753755,22.689237548255 53.0059862343747)))","22","3","0.90"
"MULTIPOLYGON (((22.7068367197634 53.0126349394016,22.7137540637917 53.0140366705285,22.7142765734822 53.0122949715603,22.7130618476887 53.0119423092331,22.7110242431319 53.0111977998758,22.7051220515802 53.0107859899751,22.7048844770729 53.011880898574,22.7068160611106 53.0122527543246,22.7068367197634 53.0126349394016)))","23","1","0.75"
"MULTIPOLYGON (((22.6984596360492 53.0249474964759,22.7026430132431 53.026352284867,22.7042853761415 53.024338066218,22.7060207029774 53.0231915109871,22.7050704049482 53.0220552850826,22.7011105132688 53.0224829943444,22.6998174180693 53.0231491342957,22.6984596360492 53.0249474964759)))","24","0","0.65"
"MULTIPOLYGON (((22.7322675213717 53.0022642956913,22.7348343589833 53.0028582319596,22.7348446883097 53.0023107776601,22.7355470825052 53.0020422151736,22.7339615309021 53.0010660938284,22.7327943170183 53.000776872689,22.7318130310099 53.0015205841902,22.7322675213717 53.0022642956913)))","26","4","0.75"
"MULTIPOLYGON (((22.7263488173418 53.0038240239784,22.7274426336955 53.0032824898666,22.7237561564144 53.0000000019122,22.7217729257446 53.0000000019076,22.7238697790047 53.0014999255373,22.7263488173418 53.0038240239784)))","27","0","0.65"
"MULTIPOLYGON (((22.7285179758868 53.0231501936815,22.7278973933988 53.0236654395814,22.7291274061447 53.0242760902596,22.727960192261 53.0254019868377,22.7287968676997 53.0256912079771,22.7296335431385 53.0248235445591,22.7297368364026 53.024286419586,22.7294579445896 53.023749294613,22.7285179758868 53.0231501936815)))","28","1","0.40"
"MULTIPOLYGON (((22.7518155189714 53.0027339040244,22.7526576116945 53.0029047139284,22.7534168171853 53.0028582319596,22.7559784901336 53.0016961827391,22.7570320814269 53.0012210337244,22.7552502726221 53.0002035950736,22.7548784168715 53.0004205109281,22.7557099276471 53.0012933390093,22.7540365767695 53.0019647452256,22.7518155189714 53.0027339040244)))","30","1","0.65"
